ACLineSegment s1 l1 1 2 B _3376A81D-8FD4-4F16-8FEA-2A696A4A5675 _BAA795A8-15F7-429F-90F2-38B4004EA8F9 _C45F652D-238D-4B72-9A42-45C64F2C53DD
ACLineSegment s1 l10 8 13 A _56F693C6-B885-4A2F-9D46-4F00CBA955D4 _B639F911-F2B7-4D53-B19A-E4686146F951 _F05DE2FE-D8AD-489B-86D4-0B050380616F
ACLineSegment s1 l10 8 13 B _56F693C6-B885-4A2F-9D46-4F00CBA955D4 _B639F911-F2B7-4D53-B19A-E4686146F951 _F05DE2FE-D8AD-489B-86D4-0B050380616F
ACLineSegment s1 l10 8 13 C _56F693C6-B885-4A2F-9D46-4F00CBA955D4 _B639F911-F2B7-4D53-B19A-E4686146F951 _F05DE2FE-D8AD-489B-86D4-0B050380616F
ACLineSegment s1 l100 101 102 C _4A8C2F9F-49F3-4D87-8332-287DFAD88CDA _6D6010B2-BEF0-43A4-B92B-167313BA06FC _35BCB2B0-BDE9-4ADB-8B1D-A59F236BB888
ACLineSegment s1 l101 101 105 A _15254880-A1BE-473C-9A1F-81EF7C36CEFC _15773302-AC09-43BF-BC60-A06984D0D3AA _C6AE42D4-C3D7-4260-B2C0-418A8F2EA5F6
ACLineSegment s1 l101 101 105 B _15254880-A1BE-473C-9A1F-81EF7C36CEFC _15773302-AC09-43BF-BC60-A06984D0D3AA _C6AE42D4-C3D7-4260-B2C0-418A8F2EA5F6
ACLineSegment s1 l101 101 105 C _15254880-A1BE-473C-9A1F-81EF7C36CEFC _15773302-AC09-43BF-BC60-A06984D0D3AA _C6AE42D4-C3D7-4260-B2C0-418A8F2EA5F6
ACLineSegment s1 l102 102 103 C _917FF339-4E9D-4CA2-9CF4-0B0F0EDA1089 _83E5C535-C559-4CEA-83B4-36ACA4AA4687 _E937FE27-9914-47BF-8AAE-5DAE216040F0
ACLineSegment s1 l103 103 104 C _3E505D08-A8AC-4242-A3DA-20C9E6A5C864 _06D9235E-20C8-4810-8FCC-4E87EA62B5E8 _50068356-BAD6-49FC-BC71-57887AA93A7E
ACLineSegment s1 l104 105 106 B _BFE0BCF6-B49C-4C0A-95B7-E0DA1D52F804 _A23A84D0-F254-434D-BF92-D192AF6A31F6 _7B7FDC43-7FEA-4E5F-A6F7-248AA5155674
ACLineSegment s1 l105 105 108 A _97236685-713C-431C-8322-F6D048A0360F _55524A95-D709-4AD6-920E-150A3B57479B _764924AC-DC3E-430B-B574-2A45AB810778
ACLineSegment s1 l105 105 108 B _97236685-713C-431C-8322-F6D048A0360F _55524A95-D709-4AD6-920E-150A3B57479B _764924AC-DC3E-430B-B574-2A45AB810778
ACLineSegment s1 l105 105 108 C _97236685-713C-431C-8322-F6D048A0360F _55524A95-D709-4AD6-920E-150A3B57479B _764924AC-DC3E-430B-B574-2A45AB810778
ACLineSegment s1 l106 106 107 B _A9D5DE10-440F-41B4-BA1A-4CB1EF2DD0DB _7D3DE208-C4E0-4A37-AB45-C979D69DF444 _9386FE94-2322-4A86-87EE-79103908103C
ACLineSegment s1 l107 108 109 A _C778D36D-7F4E-4639-9733-BEBC235725A8 _F10F5C7F-4D19-4396-9147-5F74B985C412 _6F456A3E-A5F5-4E5F-847A-0EE2DD4A23CE
ACLineSegment s1 l108 108 300 A _C3387C95-1A50-4706-9A7F-37290D48116F _8682C9E0-0738-4F08-B3C2-08FEDE230C34 _03360ECA-DB83-4F35-8490-6311853C2783
ACLineSegment s1 l108 108 300 B _C3387C95-1A50-4706-9A7F-37290D48116F _8682C9E0-0738-4F08-B3C2-08FEDE230C34 _03360ECA-DB83-4F35-8490-6311853C2783
ACLineSegment s1 l108 108 300 C _C3387C95-1A50-4706-9A7F-37290D48116F _8682C9E0-0738-4F08-B3C2-08FEDE230C34 _03360ECA-DB83-4F35-8490-6311853C2783
ACLineSegment s1 l109 109 110 A _317A1F92-9D49-44AC-989D-B6954B527A94 _3671AFB8-C1CD-4B80-B7A3-365ECCB74884 _E5D84246-ADD8-44D5-BBD0-788F21A91398
ACLineSegment s1 l11 9r 14 A _D3CE9E6F-DD64-4870-8F15-EBF530799018 _6E67857B-7C74-47AA-88E8-0DE7299110A9 _6A617D4D-290E-4852-B150-0143063B8D14
ACLineSegment s1 l110 110 111 A _A1E96703-E6A0-4336-A7E8-CE7EF6EC2FC2 _8CA7CD8B-081C-4A26-A3AE-7E51EAE827F6 _63292F72-A4CB-4EA2-910B-BC34FF874DAB
ACLineSegment s1 l111 110 112 A _F4E26B97-9237-437F-B5B2-F17EF2EC0EF8 _30E25790-5E84-4D52-8C5A-EC9E9BF7C3D4 _73483062-341B-4675-8367-4A76E154164A
